permid,isin,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,cs_001_sec,gp_esccp,cs_003_sec,cs_002_ec,str_006_sec,str_007_sect,gp_esccp_22,gp_esccp_25,gp_esccp_30,art_8_basicos,str_003b_ec,new_exclusion,exclusion_list
5038914054,US4865771095,Kayak Software Corp,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295904391,US5021751020,LTC Properties Inc,,,,,,,,OK,,,,,,,,,False,[]
4295911039,US50730R1023,Firstgroup International Inc,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295960089,US501849AA18,Safety-Kleen Services Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
5041075956,US50419MAB72,La Quinta Intermediate Holdings LLC,,,,,,,,OK,,,,,,,,,False,[]
4295908391,US4991838040,Knology Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4296826741,US49460XAB38,Kinetek Industries Inc,,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295925682,US49348EAA55,Keystone Financial Mid Atlantic Funding Corp,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
5040256395,XS1566083512,China Construction Bank Europe SA,,,,OK,,OK,,,,,OK,,,,,,False,[]
5001107820,ZAE000191516,Alexander Forbes Group Holdings Ltd,,,,,,,,OK,,,,,,,,,False,[]
5042932490,ZAE000189049,Advanced Health Limited,,,,,,,,EXCLUDED,,EXCLUDED,,,,,,,True,"['cs_003_sec', 'str_006_sec']"
4295888658,ZAE000000246,African Life Assurance Co Ltd,,,,,,,,OK,,,,,,,,,False,[]
5079903944,XS2360881549,DSV Finance BV,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295888436,US89485Q1094,Trencor Ltd,,,,OK,,OK,,OK,,OK,OK,,,,,,False,[]
4295888756,ZAE000028692,Barplats Investments (Pty) Ltd,OK,,,,,,,,,OK,,,,,,,False,[]
4295888428,ZAE000007670,Unitrans Ltd,,,,,,,,EXCLUDED,,,,,,,,,True,['cs_003_sec']
4295888831,ZAE000013991,Trematon Capital Investments Ltd,,,,OK,,OK,,,,OK,OK,,,,,,False,[]
4295888742,ZAE000014262,Firstrand Investment Management Holdings Ltd,,,,,,,,OK,,,,,,,,,False,[]
4295870643,GRC1441197B3,Attica Holdings SA,OK,,,,,,,,,,,,,,,,False,[]
4295871913,HK0000227089,Mason Group Holdings Ltd,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
